DrawNumber,Ball1,Ball2,Ball3,Ball4,Ball5,MegaBall
345,1,4,14,45,53,33
346,1,8,27,31,50,40
347,15,28,43,51,52,11
348,13,24,44,48,52,30
349,5,16,41,46,50,1
350,35,36,40,42,52,45
351,6,7,20,41,51,38
352,14,17,26,27,28,5
353,1,3,14,30,52,10
354,12,24,28,29,36,41
355,2,4,23,27,36,37
356,24,30,42,53,54,20
357,6,20,24,25,34,44
358,3,12,16,32,33,15
359,11,17,28,29,36,42
360,7,12,18,31,55,30
361,8,17,25,28,53,1
362,5,18,21,28,36,20
363,7,9,41,53,54,38
364,8,16,21,25,27,16
365,9,14,34,50,51,40
366,2,4,5,40,48,7
367,8,18,21,42,46,11
368,9,22,37,41,43,30
369,5,25,31,33,34,41
370,7,8,47,51,52,5
371,3,12,21,38,44,45
372,6,10,26,30,33,16
373,14,15,31,32,43,20
374,9,10,12,22,41,4
375,14,25,26,31,56,17
376,6,20,23,40,56,36
377,10,37,39,49,54,8
378,11,24,27,49,55,23
379,14,20,25,40,44,37
380,15,19,20,32,38,21
381,8,11,28,37,53,12
382,7,27,32,37,38,30
383,5,21,27,44,53,36
384,24,32,37,39,40,44
385,18,22,28,44,53,46
386,31,34,36,51,55,4
387,2,7,8,18,29,46
388,1,35,53,54,56,44
389,29,31,32,41,52,42
390,2,16,25,30,48,26
391,24,39,40,43,46,2
392,27,36,43,49,54,33
393,16,25,31,43,46,28
394,14,23,27,36,45,36
395,3,5,12,16,34,27
396,2,4,35,36,48,22
397,25,29,38,39,46,4
398,15,27,36,38,42,32
399,4,17,18,51,54,31
400,27,28,30,42,50,22
401,8,11,23,48,52,5
402,4,16,17,28,31,8
403,1,2,17,47,49,19
404,14,18,35,39,49,14
405,4,7,19,50,52,15
406,9,25,48,51,56,7
407,1,18,31,46,52,37
408,2,12,45,46,56,20
409,8,10,18,29,33,10
410,13,14,25,34,50,6
411,2,4,7,27,41,4
412,1,20,32,37,39,9
413,16,29,32,36,55,12
414,7,11,22,27,31,33
415,8,20,39,53,55,10
416,7,15,24,43,44,22
417,6,36,39,45,52,45
418,7,24,40,48,50,15
419,5,12,31,51,56,1
420,17,21,28,48,54,1
421,12,14,20,47,48,24
422,2,13,28,34,45,36
423,3,10,18,36,38,41
424,5,29,35,52,53,9
425,8,17,18,26,47,37
426,1,20,23,24,33,29
427,27,30,36,38,45,13
428,11,21,37,53,54,12
429,13,17,24,34,56,24
430,2,14,20,29,44,32
431,20,40,46,48,54,27
432,9,15,31,42,45,41
433,7,15,27,46,56,39
434,5,14,34,36,52,42
435,13,25,26,28,56,39
436,12,13,29,49,52,20
437,18,26,35,36,43,24
438,7,21,24,41,51,10
439,2,13,23,32,35,4
440,14,29,32,43,49,14
441,2,24,31,50,55,44
442,1,5,13,18,33,30
443,14,16,38,40,49,29
444,10,12,22,44,48,16
445,5,12,13,46,50,10
446,3,4,5,7,36,16
447,17,24,35,46,54,33
448,15,25,37,38,52,4
449,5,6,51,53,55,12
450,1,32,36,42,53,4
451,9,17,34,52,53,2
452,3,16,25,30,44,42
453,6,26,33,39,55,1
454,2,19,44,45,56,43
455,7,12,17,22,43,16
456,3,6,38,42,45,30
457,3,25,43,45,55,40
458,6,19,32,33,40,39
459,1,11,20,21,46,18
460,14,30,35,40,43,2
461,24,27,42,47,50,8
462,6,18,20,28,38,37
463,9,13,23,29,54,34
464,5,25,41,48,51,35
465,15,22,26,30,32,31
466,5,34,40,45,46,21
467,8,10,22,25,55,22
468,13,22,33,51,52,42
469,11,42,52,53,55,28
470,9,20,24,25,36,23
471,5,19,25,30,50,42
472,7,13,20,42,47,9
473,14,35,40,47,48,35
474,7,14,24,41,56,7
475,16,22,23,37,53,35
476,6,9,13,43,46,45
477,1,15,29,32,45,8
478,20,30,31,35,49,23
479,6,7,17,28,40,39
480,9,32,37,42,48,7
481,5,12,15,25,34,43
482,7,12,25,44,53,3
483,3,4,10,39,50,29
484,9,10,38,51,53,1
485,2,12,44,46,51,6
486,7,11,26,38,54,13
487,12,14,26,40,42,22
488,4,8,15,33,52,10
489,4,28,30,31,35,17
490,3,5,15,26,53,35
491,16,17,36,49,54,14
492,14,18,44,52,56,25
493,22,33,35,40,53,15
494,16,21,35,36,46,38
495,32,39,46,48,49,41
496,3,9,24,29,41,41
497,17,35,40,46,48,41
498,1,9,26,46,51,11
499,3,18,21,38,50,43
500,18,31,44,45,48,18
501,14,21,33,35,51,43
502,16,22,29,39,42,20
503,10,13,25,42,43,30
504,7,11,16,38,49,35
505,17,25,36,40,43,9
506,7,21,46,49,55,15
507,18,21,35,51,53,36
508,18,25,34,35,42,6
509,15,23,37,48,53,22
510,16,26,33,34,46,38
511,24,32,34,36,39,6
512,7,15,16,19,28,10
513,11,14,21,25,26,33
514,1,4,11,31,47,37
515,1,9,10,23,53,40
516,8,10,35,36,43,14
517,5,7,26,38,56,15
518,11,16,31,52,53,42
519,4,9,20,45,55,34
520,16,24,41,43,54,36
521,28,30,33,48,54,25
522,6,13,42,46,56,42
523,13,23,24,30,44,5
524,2,7,11,22,36,35
525,10,14,22,42,43,1
